Company,Skills
peerme software technology pvt. ltd.,"['c', 'system software', 'ajax', 'java', 'xml', 'java se', 'web development', 'mysql', 'c#', 'oracle', 'javascript', 'eclipse', 'soap', 'algorithms', 'jquery', 'database', 'oops', 'linux', 'json', 'mvc', 'rest', 'cakephp', 'c', 'mobile', 'team player', 'swing', 'system architecture', 'php']"
cloudxlab,"['retail lending', 'nse', 'lending', 'banking', 'bse', 'housing finance']"
Intellvisions Software Ltd,"['html5', 'jsp', 'docker', 'spring', 'java', 'xml', 'devops', 'debugging', 'json', 'web api', 'api', 'rest', 'oracle', 'svn', 'javascript', 'eclipse', 'unix']"
JIVA INFOTECH,"['css', 'jquery', 'git', 'oops', 'linux', 'zend', 'debugging', 'mysql', 'html', 'mvc', 'magento', 'rest', 'team player', 'svn', 'php', 'soap']"
JIVA INFOTECH,"['rest', 'css', 'svn', 'jquery', 'git', 'oops', 'linux', 'php', 'zend', 'debugging', 'mysql', 'html', 'mvc', 'soap', 'magento']"
JIVA INFOTECH,"['css', 'jquery', 'sql', 'mvvm', 'git', 'asp.net', 'oops', 'debugging', 'html', 'web api', 'mvc', 'singleton', 'entity framework', 'wix', 'team player', 'svn', 'xaml', '.net', 'c#.net']"
JIVA INFOTECH,"['css', 'authoring', 'jquery', 'database', 'git', 'xml', 'linux', 'web development', 'mysql', 'mvc', 'magento', 'rest', 'javascript', 'php', 'soap']"
e-business international,"['testing', 'test data', 'functional testing', 'hp quality center', 'integration testing', 'sap r', 'hp alm']"
JIVA INFOTECH,"['typography', 'ux designer', 'aftereffects', 'indesign', 'brochures', 'ux', 'photoshop', 'designing', 'wireframes', 'illustrator']"
JIVA INFOTECH,"['fundamentals', 'css', 'bootstrap', 'jquery', 'sql', 'oops', 'html', 'c#', 'rest', 'problem solving', 'javascript', 'infrastructure', '.net']"
JIVA INFOTECH,"['fundamentals', 'css', 't-sql', 'sql', 'git', 'asp.net', 'oops', 'web api', 'html', 'mvc', 'pl  /  sql', 'c#', 'rest', '.net developer', 'problem solving', 'infrastructure', '.net']"
JIVA INFOTECH,"['c#', 'dml', 'windows', 'linq', '.net', 'web development']"
JIVA INFOTECH,"['entity framework', 'rest api', 'jquery', 'javascript', 'sql', 'mvvm', 'git', 'xml', '.net', 'json', 'mvc', 'api']"
